Player,Matches,Overs,Balls,Wkts,Avg,Runs,4-fers,5-fers
Mohammed Shami (IND),6,41.5,251,23,9.13,210,1,3
A Zampa (AUS),9,79,474,22,18.9,416,3,-
D Madushanka (SL),9,78.2,470,21,25,525,1,1
JJ Bumrah (IND),10,82.5,497,18,18.33,330,1,-
G Coetzee (SA),7,54.3,327,18,19.38,349,1,-
Shaheen Shah Afridi (PAK),9,81,486,18,26.72,481,-,1
M Jansen (SA),8,64.4,388,17,24.41,415,-,-
RA Jadeja (IND),10,83.3,501,16,22.18,355,-,1
MJ Santner (NZ),10,92.4,556,16,28.06,449,-,1
BFW de Leede (NED),9,67,402,16,30.43,487,1,-
Haris Rauf (PAK),9,79,474,16,33.31,533,-,-
Kuldeep Yadav (IND),10,85.1,511,15,24.53,368,-,-
AU Rashid (ENG),9,79.4,478,15,27.53,413,-,-
KA Maharaj (SA),9,79,474,14,24.71,346,1,-
TA Boult (NZ),10,91,546,14,36,504,-,-
Mohammed Siraj (IND),10,75.3,453,13,32.61,424,-,-
K Rabada (SA),8,66.5,401,12,26.91,323,-,-
JR Hazlewood (AUS),9,75.1,451,12,31.41,377,-,-
PA van Meekeren (NED),9,74.2,446,12,37.25,447,1,-
LV van Beek (NED),8,70.5,425,12,39.66,476,1,-
DJ Willey (ENG),6,51,306,11,23.54,259,-,-